	id	artist_id	album_name	total_tracks	label	release_date	popularity
0	1	1	Twelve Carat Toothache (Deluxe)	16	Mercury Records/Republic Records	2022-06-07	71
1	2	1	Twelve Carat Toothache (Deluxe)	16	Mercury Records/Republic Records	2022-06-07	48
2	3	1	Twelve Carat Toothache	14	Mercury Records/Republic Records	2022-06-03	82
3	4	1	Twelve Carat Toothache	14	Mercury Records/Republic Records	2022-06-03	58
4	5	1	Hollywood's Bleeding	17	Republic Records	2019-09-06	81
5	6	1	Hollywood's Bleeding	17	Republic Records	2019-09-06	50
6	7	1	beerbongs & bentleys	18	Republic Records	2018-04-27	79
7	8	1	beerbongs & bentleys	18	Republic Records	2018-04-27	50
8	9	1	Stoney (Complete Edition)	34	Universal Records	2016-12-09	54
9	10	1	Stoney (Deluxe)	18	Universal Records	2016-12-09	78
10	11	1	Stoney (Deluxe)	18	Universal Records	2016-12-09	47
11	12	1	Stoney	14	Universal Records	2016-12-09	44
12	13	1	Stoney	14	Universal Records	2016-12-09	25
13	14	2	Dawn FM (Alternate World)	24	XO / Republic Records	2022-01-07	56
14	15	2	Dawn FM (Alternate World)	20	XO / Republic Records	2022-01-07	54
15	16	2	Dawn FM (Alternate World)	19	XO / Republic Records	2022-01-07	55
16	17	2	Dawn FM (Alternate World)	24	XO / Republic Records	2022-01-07	45
17	18	2	Dawn FM	16	Universal Republic Records	2022-01-07	48
18	19	2	Dawn FM	16	XO / Republic Records	2022-01-06	80
19	20	2	After Hours (Deluxe)	17	Republic Records	2020-04-03	59
20	21	2	After Hours (Deluxe)	17	Republic Records	2020-04-03	33
21	22	2	After Hours (Deluxe)	18	XO / Republic Records	2020-03-20	62
22	23	2	After Hours (Deluxe)	18	XO / Republic Records	2020-03-20	66
23	24	2	After Hours	14	Republic Records	2020-03-20	84
24	25	2	After Hours	14	Republic Records	2020-03-20	47
25	26	2	My Dear Melancholy,	7	Universal Republic Records	2018-03-30	81
26	27	2	My Dear Melancholy,	7	Universal Republic Records	2018-03-30	39
27	28	2	Starboy	18	Universal Republic Records	2016-11-25	83
28	29	2	Starboy	18	Universal Republic Records	2016-11-24	76
29	30	2	Beauty Behind The Madness	17	Universal Republic Records	2016-03-16	20
30	31	2	Beauty Behind The Madness	14	Universal Republic Records	2015-08-28	80
31	32	2	Beauty Behind The Madness	14	Universal Republic Records	2015-08-28	42
32	33	2	Beauty Behind The Madness	14	Universal Republic Records	2015-08-28	3
33	34	2	Kiss Land (Deluxe)	12	Universal Republic Records	2013-09-10	51
34	35	2	Kiss Land	10	CP Records	2013-09-10	57
35	36	2	Kiss Land (Deluxe MENA Version)	12	Universal Republic Records	2013-09-09	23
36	37	2	Kiss Land	10	CP Records	2013-09-09	24
37	38	2	Kiss Land	10	Universal Republic Records	2013-01-01	49
38	39	2	Kiss Land	10	Universal Republic Records	2013-01-01	7
39	40	2	Trilogy	30	Universal Republic Records	2012-11-13	52
40	41	2	Trilogy	30	CP Records	2012-11-13	73
41	42	2	Trilogy	30	Universal Republic Records	2012-11-13	33
42	43	2	Echoes Of Silence (Original)	9	Universal Republic Records	2011-12-21	46
43	44	2	Thursday (Original)	9	Universal Republic Records	2011-08-18	46
44	45	2	House Of Balloons (Original)	9	Universal Republic Records	2011-03-21	60
45	46	3	A Kid Named Cudi	16	Republic Records	2022-07-15	60
46	47	3	The Boy Who Flew To The Moon (Vol. 1)	18	Universal Records	2022-07-08	62
47	48	3	Man On The Moon III: The Chosen	18	Republic Records	2020-12-11	68
48	49	3	Man On The Moon III: The Chosen	18	Republic Records	2020-12-11	46
49	50	3	KIDS SEE GHOSTS	7	Getting Out Our Dreams, Inc./Def Jam Recordings	2018-06-12	21
50	51	3	KIDS SEE GHOSTS	7	Getting Out Our Dreams, Inc./Def Jam Recordings	2018-06-08	65
51	52	3	Passion, Pain & Demon Slayin'	19	Wicked Awesome/Kid Cudi	2016-12-16	59
52	53	3	Passion, Pain & Demon Slayin'	19	Wicked Awesome/Kid Cudi	2016-12-16	23
53	54	3	Speedin' Bullet 2 Heaven	26	Wicked Awesome/Kid Cudi	2015-12-04	46
54	55	3	KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon	10	Kid Cudi/Universal Records	2014-02-25	41
55	56	3	KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon	10	Kid Cudi/Universal Records	2014-01-01	0
56	57	3	KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon	10	Kid Cudi/Universal Records	2014-01-01	34
57	58	3	KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon	10	Kid Cudi/Universal Records	2014-01-01	3
58	59	3	KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon	10	Kid Cudi/Universal Records	2014-01-01	24
59	60	3	Indicud	18	Kid Cudi/Universal Records	2013-04-12	59
60	61	3	Indicud	18	Kid Cudi/Universal Records	2013-01-01	22
61	62	3	Man On The Moon II: The Legend Of Mr. Rager	17	Kid Cudi/Universal Records	2010-11-09	68
62	63	3	Man On The Moon II: The Legend Of Mr. Rager (Explicit Version)	18	Kid Cudi/Universal Records	2010-01-01	22
63	64	3	Man On The Moon II: The Legend Of Mr. Rager (Explicit Version)	17	Kid Cudi/Universal Records	2010-01-01	37
64	65	3	Man On The Moon II: The Legend Of Mr. Rager (Edited Version)	17	Kid Cudi/Universal Records	2010-01-01	2
65	66	3	Man On The Moon II: The Legend Of Mr. Rager	17	Kid Cudi/Universal Records	2010-01-01	59
66	67	3	Man On The Moon: The End Of Day	15	Kid Cudi/Universal Records	2009-09-15	65
67	68	3	Man On The Moon: The End Of Day	19	Kid Cudi/Universal Records	2009-01-01	48
68	69	3	Man On The Moon: The End Of Day (Deluxe)	18	Kid Cudi/Universal Records	2009-01-01	68
