	id	artist_id	event_name	venue_name	venue_country	venue_country_code	venue_city	venue_postalCode	venue_address	venue_location_latitude	venue_location_longitude	event_DateTime
0	1	1	Post Malone: Twelve Carat Tour	T-Mobile Arena	United States Of America	US	Las Vegas	89109	3780 Las Vegas Blvd.	36.124401	-115.145103	2022-11-12T04:00:00Z
1	2	1	Post Malone: Twelve Carat Tour	Toyota Center - TX	United States Of America	US	Houston	77002	1510 Polk St	29.759399	-95.362999	2022-10-26T01:00:00Z
2	3	1	Post Malone: Twelve Carat Tour	Wells Fargo Center-PA	United States Of America	US	Philadelphia	19148	3601 South Broad St.	39.910999	-75.153397	2022-10-07T00:00:00Z
3	4	1	Post Malone: Twelve Carat Tour	Nationwide Arena	United States Of America	US	Columbus	43215	200 West Nationwide Blvd.	39.96939661	-83.00636203	2022-09-19T00:00:00Z
4	5	1	Post Malone: Twelve Carat Tour	Rocket Mortgage FieldHouse	United States Of America	US	Cleveland	44115	One Center Court	41.492401	-81.671204	2022-09-28T00:00:00Z
5	6	1	Post Malone: Twelve Carat Tour	Little Caesars Arena	United States Of America	US	Detroit	48201	2645 Woodward	42.341089	-83.055434	2022-10-02T00:00:00Z
6	7	1	Post Malone: Twelve Carat Tour	Bridgestone Arena	United States Of America	US	Nashville	37203	501 Broadway	36.159949	-86.77857	2022-10-17T01:00:00Z
7	8	1	Post Malone: Twelve Carat Tour	Fiserv Forum	United States Of America	US	Milwaukee	53203	1111 Vel R. Phillips Ave	43.04228	-87.916896	2022-09-16T01:00:00Z
8	9	1	Post Malone: Twelve Carat Tour	TD Garden	United States Of America	US	Boston	02114	100 Legends Way	42.365841	-71.060724	2022-09-25T00:00:00Z
9	10	1	Post Malone: Twelve Carat Tour	BOK Center	United States Of America	US	Tulsa	74103	200 S. Denver 	36.15287358	-95.99613726	2022-10-29T01:00:00Z
10	11	1	Post Malone: Twelve Carat Tour	TD Garden	United States Of America	US	Boston	02114	100 Legends Way	42.365841	-71.060724	2022-09-24T00:00:00Z
11	12	1	Post Malone: Twelve Carat Tour	Ball Arena	United States Of America	US	Denver	80204	1000 Chopper Circle	39.74724	-105.010166	2022-10-31T02:00:00Z
12	13	1	Post Malone: Twelve Carat Tour	Enterprise Center	United States Of America	US	St Louis	63103	1401 Clark Ave	38.626432	-90.202617	2022-09-18T01:00:00Z
13	14	1	Post Malone: Twelve Carat Tour	Madison Square Garden	United States Of America	US	New York	10001	7th Ave & 32nd Street	40.7497062	-73.9916006	2022-10-13T00:00:00Z
14	15	1	Post Malone: Twelve Carat Tour	American Airlines Center	United States Of America	US	Dallas	75219	2500 Victory Avenue	32.79067196	-96.81081803	2022-10-22T01:00:00Z
15	16	1	Post Malone: Twelve Carat Tour	Capital One Arena	United States Of America	US	Washington	20004	601 F Street NW	38.897412	-77.020029	2022-10-05T00:00:00Z
16	17	1	Post Malone: Twelve Carat Tour	Kia Forum	United States Of America	US	Inglewood	90305	3900 W Manchester Blvd.	33.9583	-118.341868	2022-11-11T04:00:00Z
17	18	1	Post Malone: Twelve Carat Tour	PPG Paints Arena	United States Of America	US	Pittsburgh	15219	1001 Fifth Avenue	40.4388401	-79.9908551	2022-09-29T00:00:00Z
18	19	1	Post Malone: Twelve Carat Tour	UBS Arena	United States Of America	US	Belmont Park - Long Island	11003	2400 Hempstead Turnpike	40.71187893	-73.72613877	2022-10-10T00:00:00Z
19	20	1	Post Malone: Twelve Carat Tour	Colonial Life Arena	United States Of America	US	Columbia	29208	801 Lincoln St.	33.9942619	-81.036104	2022-10-16T00:00:00Z
20	21	1	Post Malone: Twelve Carat Tour	Crypto.com Arena	United States Of America	US	Los Angeles	90015	1111 S. Figueroa St	34.043003	-118.267253	2022-11-17T04:00:00Z
21	22	1	Post Malone: Twelve Carat Tour	Moody Center ATX	United States Of America	US	Austin	78712	2001 Robert Dedman Drive	30.280735	-97.730837	2022-10-23T01:00:00Z
22	23	1	Post Malone: Twelve Carat Tour	Gainbridge Fieldhouse	United States Of America	US	Indianapolis	46204	125 S. Pennsylvania St.	39.764064	-86.155507	2022-10-03T00:00:00Z
23	24	1	Post Malone: Twelve Carat Tour	Climate Pledge Arena	United States Of America	US	Seattle	98109	334 1st Ave N	47.6221261	-122.35401604	2022-11-06T03:00:00Z
24	25	1	Post Malone: Twelve Carat Tour	Prudential Center	United States Of America	US	Newark	07102	25 Lafayette Street	40.73340555	-74.17121214	2022-10-08T00:00:00Z
25	26	1	Post Malone: Twelve Carat Tour	State Farm Arena	United States Of America	US	Atlanta	30303	One State Farm Drive	33.757796	-84.394569	2022-10-19T00:00:00Z
26	27	1	Post Malone: Twelve Carat Tour	Moda Center	United States Of America	US	Portland	97227	One Center Court, Suite 100	45.53118896	-122.66645813	2022-11-04T03:00:00Z
27	28	1	Post Malone: Twelve Carat Tour	Madison Square Garden	United States Of America	US	New York	10001	7th Ave & 32nd Street	40.7497062	-73.9916006	2022-10-14T00:00:00Z
28	29	1	Post Malone: Twelve Carat Tour	Vivint Arena	United States Of America	US	Salt Lake City	84101	301 West South Temple	40.767798	-111.901096	2022-11-02T02:00:00Z
29	30	1	Post Malone: Twelve Carat Tour	Crypto.com Arena	United States Of America	US	Los Angeles	90015	1111 S. Figueroa St	34.043003	-118.267253	2022-11-16T04:00:00Z
30	31	1	Post Malone: Twelve Carat Tour	Dickies Arena	United States Of America	US	Fort Worth	76107	1911 Montgomery Street	32.741072	-97.368507	2022-10-27T01:00:00Z
31	32	1	Post Malone: Twelve Carat Tour	Kia Forum	United States Of America	US	Inglewood	90305	3900 W Manchester Blvd.	33.9583	-118.341868	2022-11-14T04:00:00Z
32	33	1	CLUB Level Seating: Post Malone	Ball Arena	United States Of America	US	Denver	80204	1000 Chopper Circle	39.74724	-105.010166	2022-10-31T02:00:00Z
33	34	1	Post Malone: Twelve Carat Tour	Scotiabank Arena	Canada	CA	Toronto	M5J 2L2	50 Bay Street, Suite 500	43.6439254	-79.3783234	2022-09-21T00:00:00Z
34	35	1	Post Malone: Twelve Carat Tour	Scotiabank Arena	Canada	CA	Toronto	M5J 2L2	50 Bay Street, Suite 500	43.6439254	-79.3783234	2022-09-22T00:00:00Z
35	36	1	Post Malone: Twelve Carat Tour	Rocket Mortgage Fieldhouse	United States Of America	US	Cleveland	44115	One Center Court	41.4967035	-81.6894825	2022-09-28T00:00:00Z
36	37	1	Post Malone: Twelve Carat Tour	Wells Fargo Center	United States Of America	US	Philadelphia	19145	3601 South Broad St	39.904551	-75.1736273	2022-10-07T00:00:00Z
37	38	1	Post Malone: Twelve Carat Tour	Toyota Center	United States Of America	US	Houston	77002	1510 Polk Street	29.7520386	-95.3623133	2022-10-26T01:00:00Z
38	39	1	Post Malone: Twelve Carat Tour	Rogers Arena	Canada	CA	Vancouver	V6B 6G1	800 Griffiths Way	49.2776612	-123.1081074	2022-11-07T04:00:00Z
39	40	1	Post Malone: Twelve Carat Tour	T-Mobile Arena	United States Of America	US	Las Vegas	89158	3780 S Las Vegas Blvd	36.102807	-115.178313	2022-11-12T04:00:00Z
40	41	1	Suites: Post Malone: Twelve Carat Tour	Dickies Arena	United States Of America	US	Fort Worth	76107	1911 Montgomery Street	32.741072	-97.368507	2022-10-27T01:00:00Z
41	42	1	RED HOT CHILI PEPPERS WITH POST MALONE	Mt Smart Stadium	New Zealand	NZ	Auckland	1061	Beasley Avenue	-36.9199905	174.8134003	2023-01-21T04:00:00Z
42	43	1	RED HOT CHILI PEPPERS WITH POST MALONE	Forsyth Barr Stadium	New Zealand	NZ	Dunedin	9016	130 Anzac Avenue	-45.869296	170.524547	2023-01-26T04:00:00Z
43	44	1	RED HOT CHILI PEPPERS WITH POST MALONE	Accor Stadium	Australia	AU	Sydney Olympic Park	2127	15 Edwin Flack Avenue	-33.848603	151.061717	2023-02-02T06:00:00Z
44	45	1	RED HOT CHILI PEPPERS WITH POST MALONE	Marvel Stadium	Australia	AU	Docklands	3008	Harbour Esplanade	-37.816518	144.94554	2023-02-07T06:00:00Z
45	46	1	RED HOT CHILI PEPPERS WITH POST MALONE	Optus Stadium	Australia	AU	Burswood	6100	333 Victoria Park Drive	-31.951204	115.889132	
46	47	1	Don Londres Presents: The Post Malone Official After Party	The Depot	United States Of America	US	Salt Lake City	84101	13 North 400 West	40.76963375	-111.90302543	2022-11-02T04:00:00Z
47	48	1	Don Londres Presents The Post Malone Official After Party	Soundcheck	United States Of America	US	Washington	20005	1420 K St NW	38.902135	-77.032811	2022-10-05T02:30:00Z
