	id	album_id	artist_id	track_name	popularity	duration_ms	track_number	disc_number	explicit	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	time_signature
0	1	1	1	Reputation	65	248177	1	1	True	0.314	0.439	2	-5.726	1	0.0311	0.671	0.0	0.181	0.364	180.119	4
1	2	1	1	Cooped Up (with Roddy Ricch)	65	185857	2	1	True	0.669	0.773	0	-5.619	1	0.153	0.038	0.0	0.113	0.377	93.923	4
2	3	1	1	Lemon Tree	66	243486	3	1	True	0.611	0.584	11	-6.897	0	0.0301	0.083	0.0	0.432	0.181	116.106	4
3	4	1	1	Wrapped Around Your Finger	65	193565	4	1	False	0.744	0.628	2	-5.435	1	0.0287	0.0493	0.0	0.317	0.539	119.966	4
4	5	1	1	I Like You (A Happier Song) (with Doja Cat)	67	192840	5	1	True	0.733	0.67	5	-6.009	1	0.0751	0.121	0.0	0.121	0.472	100.964	4
5	6	1	1	I Cannot Be (A Sadder Song) (with Gunna)	64	169824	6	1	True	0.517	0.668	1	-6.012	1	0.116	0.0712	0.0	0.407	0.646	79.782	4
6	7	1	1	Insane	64	169660	7	1	True	0.645	0.671	10	-7.208	0	0.0459	0.0597	8e-06	0.11	0.365	82.546	4
7	8	1	1	Love/Hate Letter To Alcohol (with Fleet Foxes)	63	183816	8	1	True	0.475	0.569	4	-7.073	0	0.0343	0.037	0.00129	0.232	0.0395	108.007	4
8	9	1	1	Wasting Angels (with The Kid LAROI)	63	243158	9	1	False	0.583	0.43	9	-7.748	1	0.0353	0.801	0.0	0.0867	0.367	84.967	4
9	10	1	1	Euthanasia	61	145795	10	1	True	0.301	0.303	4	-12.39	1	0.0458	0.177	0.031	0.0979	0.0384	141.997	4
10	11	1	1	When I’m Alone	62	195110	11	1	False	0.485	0.656	10	-6.121	0	0.0528	0.0346	0.0	0.155	0.106	140.107	4
11	12	1	1	Waiting For A Miracle	59	141851	12	1	True	0.491	0.278	6	-11.29	1	0.0424	0.8	1.99e-06	0.111	0.0718	127.136	4
12	13	1	1	One Right Now (with The Weeknd)	61	192721	13	1	True	0.682	0.764	1	-5.411	1	0.0477	0.0363	0.0	0.103	0.701	97.023	4
13	14	1	1	New Recording 12, Jan 3, 2020	57	92718	14	1	False	0.477	0.162	9	-15.34	1	0.0545	0.927	0.000299	0.179	0.211	106.144	3
14	15	1	1	Waiting For Never	72	196986	15	1	True	0.593	0.834	10	-3.738	1	0.0424	0.115	0.0	0.191	0.555	151.944	4
15	16	1	1	Hateful	67	178160	16	1	True	0.535	0.724	6	-5.498	0	0.0673	0.0281	0.0	0.0782	0.179	147.083	4
16	17	2	1	Reputation	42	248177	1	1	False	0.312	0.434	2	-5.804	1	0.0312	0.718	0.0	0.189	0.354	180.065	4
